barcode,name,estilo,terex2_stock
7000010380010,G8 POWER LITE NEGRO ANILLO,ANILLO,2
7000010370011,ONE FUSION NEGRO ANILLO,ANILLO,1
7001534540058,IPHONE 16 AZUL MARINO CONVERT PIEL,CONVERT PIEL,12
7001534541178,IPHONE 16 GRIS CONVERT PIEL,CONVERT PIEL,14
7001534540188,IPHONE 16 NARANJA CONVERT PIEL,CONVERT PIEL,27
7001534540010,IPHONE 16 NEGRO CONVERT PIEL,CONVERT PIEL,8
7001534540225,IPHONE 16 VERDE LIMON CONVERT PIEL,CONVERT PIEL,7
7001535400054,IPHONE 17 AZUL MARINO CONVERT PIEL,CONVERT PIEL,12
7001535401174,IPHONE 17 GRIS CONVERT PIEL,CONVERT PIEL,14
7001535400184,IPHONE 17 NARANJA CONVERT PIEL,CONVERT PIEL,16
7001535400016,IPHONE 17 NEGRO CONVERT PIEL,CONVERT PIEL,17
7001535430051,IPHONE 17 PRO AZUL MARINO CONVERT PIEL,CONVERT PIEL,2
7001535431171,IPHONE 17 PRO GRIS CONVERT PIEL,CONVERT PIEL,5
7001535410220,IPHONE 17 PRO MAX VERDE LIMON CONVERT PIEL,CONVERT PIEL,8
7001535430181,IPHONE 17 PRO NARANJA CONVERT PIEL,CONVERT PIEL,10
7001535430013,IPHONE 17 PRO NEGRO CONVERT PIEL,CONVERT PIEL,10
7001535430228,IPHONE 17 PRO VERDE LIMON CONVERT PIEL,CONVERT PIEL,8
7001535400221,IPHONE 17 VERDE LIMON CONVERT PIEL,CONVERT PIEL,11
7001575040180,IPHONE 16E NARANJA DOBLE SOPORTE CON CAMARAS,DOBLE SOPORTE CON CAMARAS,13
7001574550185,IPHONE 16 PRO MAX NARANJA DOBLE SOPORTE CON CAMARAS,DOBLE SOPORTE CON CAMARAS,14
7001575410181,IPHONE 17 PRO MAX NARANJA DOBLE SOPORTE CON CAMARAS,DOBLE SOPORTE CON CAMARAS,12
7001684540052,IPHONE 16 AZUL MARINO FUN SIN CAMARA MS,FUN SIN CAMARA MS,13
7001684540519,IPHONE 16 BEIGE FUN SIN CAMARA MS,FUN SIN CAMARA MS,16
7001684540182,IPHONE 16 NARANJA FUN SIN CAMARA MS,FUN SIN CAMARA MS,17
7001684540014,IPHONE 16 NEGRO FUN SIN CAMARA MS,FUN SIN CAMARA MS,11
7001684550051,IPHONE 16 PRO MAX AZUL MARINO FUN SIN CAMARA MS,FUN SIN CAMARA MS,15
7001684550068,IPHONE 16 PRO MAX DORADO FUN SIN CAMARA MS,FUN SIN CAMARA MS,18
7001684550013,IPHONE 16 PRO MAX NEGRO FUN SIN CAMARA MS,FUN SIN CAMARA MS,15
7001684550082,IPHONE 16 PRO MAX PLATA FUN SIN CAMARA MS,FUN SIN CAMARA MS,16
7001684550020,IPHONE 16 PRO MAX ROJO FUN SIN CAMARA MS,FUN SIN CAMARA MS,14
7001684540021,IPHONE 16 ROJO FUN SIN CAMARA MS,FUN SIN CAMARA MS,9
7001685400058,IPHONE 17 AZUL MARINO FUN SIN CAMARA MS,FUN SIN CAMARA MS,18
7001685400065,IPHONE 17 DORADO FUN SIN CAMARA MS,FUN SIN CAMARA MS,16
7001685400010,IPHONE 17 NEGRO FUN SIN CAMARA MS,FUN SIN CAMARA MS,16
7001685400089,IPHONE 17 PLATA FUN SIN CAMARA MS,FUN SIN CAMARA MS,17
7001685430055,IPHONE 17 PRO AZUL MARINO FUN SIN CAMARA MS,FUN SIN CAMARA MS,13
7001685430062,IPHONE 17 PRO DORADO FUN SIN CAMARA MS,FUN SIN CAMARA MS,50
7001685410057,IPHONE 17 PRO MAX AZUL MARINO FUN SIN CAMARA MS,FUN SIN CAMARA MS,11
7001685410514,IPHONE 17 PRO MAX BEIGE FUN SIN CAMARA MS,FUN SIN CAMARA MS,20
7001685410194,IPHONE 17 PRO MAX CAFE FUN SIN CAMARA MS,FUN SIN CAMARA MS,21
7001685410187,IPHONE 17 PRO MAX NARANJA FUN SIN CAMARA MS,FUN SIN CAMARA MS,37
7001685410019,IPHONE 17 PRO MAX NEGRO FUN SIN CAMARA MS,FUN SIN CAMARA MS,13
7001685430017,IPHONE 17 PRO NEGRO FUN SIN CAMARA MS,FUN SIN CAMARA MS,12
7001685430086,IPHONE 17 PRO PLATA FUN SIN CAMARA MS,FUN SIN CAMARA MS,11
7001685430024,IPHONE 17 PRO ROJO FUN SIN CAMARA MS,FUN SIN CAMARA MS,12
7001685400027,IPHONE 17 ROJO FUN SIN CAMARA MS,FUN SIN CAMARA MS,10
7001565450173,A07 MORADO HUMO BRACKET SAM,HUMO BRACKET SAM,1
7001565450043,A07 ROSA HUMO BRACKET SAM,HUMO BRACKET SAM,1
7001563970055,S24 ULTRA AZUL MARINO HUMO BRACKET SAM,HUMO BRACKET SAM,1
7001565000040,S25 ULTRA ROSA HUMO BRACKET SAM,HUMO BRACKET SAM,6
7002653450181,IPHONE 15 NARANJA LILA CONVERT X,LILA CONVERT X,5
7001580050112,IPHONE 12 AZUL CLARO LUCK BRACKET CON CAMARAS,LUCK BRACKET CON CAMARAS,1
7001583460048,IPHONE 15 PRO MAX ROSA LUCK BRACKET CON CAMARAS,LUCK BRACKET CON CAMARAS,1
7001583460147,IPHONE 15 PRO MAX ROSA PALO LUCK BRACKET CON CAMARAS,LUCK BRACKET CON CAMARAS,2
7001585430117,IPHONE 17 PRO AZUL CLARO LUCK BRACKET CON CAMARAS,LUCK BRACKET CON CAMARAS,1
7001585430049,IPHONE 17 PRO ROSA LUCK BRACKET CON CAMARAS,LUCK BRACKET CON CAMARAS,1
7001583970011,S24 ULTRA NEGRO LUCK BRACKET CON CAMARAS,LUCK BRACKET CON CAMARAS,1
7001584760116,SAMSUNG A36 AZUL CLARO LUCK BRACKET CON CAMARAS,LUCK BRACKET CON CAMARAS,1
7001585300144,SAMSUNG A56 ROSA PALO LUCK BRACKET CON CAMARAS,LUCK BRACKET CON CAMARAS,1
7002055000113,S25 ULTRA AZUL CLARO LY GLITTER CROMO CAMERA,LY GLITTER CROMO CAMERA,11
7002055000175,S25 ULTRA MORADO LY GLITTER CROMO CAMERA,LY GLITTER CROMO CAMERA,10
7002055000014,S25 ULTRA NEGRO LY GLITTER CROMO CAMERA,LY GLITTER CROMO CAMERA,11
7002055000045,S25 ULTRA ROSA LY GLITTER CROMO CAMERA,LY GLITTER CROMO CAMERA,10
7002055000076,S25 ULTRA TRANSPARENTE LY GLITTER CROMO CAMERA,LY GLITTER CROMO CAMERA,9
7002085410111,IPHONE 17 PRO MAX AZUL CLARO LY HUMO SMOKY ALL,LY HUMO SMOKY ALL,9
7002085410050,IPHONE 17 PRO MAX AZUL MARINO LY HUMO SMOKY ALL,LY HUMO SMOKY ALL,9
7002085410197,IPHONE 17 PRO MAX CAFE LY HUMO SMOKY ALL,LY HUMO SMOKY ALL,9
7002085411170,IPHONE 17 PRO MAX GRIS LY HUMO SMOKY ALL,LY HUMO SMOKY ALL,9
7002085410166,IPHONE 17 PRO MAX LILA LY HUMO SMOKY ALL,LY HUMO SMOKY ALL,9
7002085410180,IPHONE 17 PRO MAX NARANJA LY HUMO SMOKY ALL,LY HUMO SMOKY ALL,10
7002085410012,IPHONE 17 PRO MAX NEGRO LY HUMO SMOKY ALL,LY HUMO SMOKY ALL,9
7002085410043,IPHONE 17 PRO MAX ROSA LY HUMO SMOKY ALL,LY HUMO SMOKY ALL,9
7002035410055,IPHONE 17 PRO MAX AZUL MARINO LY MAGSAFE CAMARA CROMADO SMOKY BACK,LY MAGSAFE CAMARA CROMADO SMOKY BACK,5
7002035410192,IPHONE 17 PRO MAX CAFE LY MAGSAFE CAMARA CROMADO SMOKY BACK,LY MAGSAFE CAMARA CROMADO SMOKY BACK,3
7002035411175,IPHONE 17 PRO MAX GRIS LY MAGSAFE CAMARA CROMADO SMOKY BACK,LY MAGSAFE CAMARA CROMADO SMOKY BACK,5
7002035410017,IPHONE 17 PRO MAX NEGRO LY MAGSAFE CAMARA CROMADO SMOKY BACK,LY MAGSAFE CAMARA CROMADO SMOKY BACK,8
7002045410014,IPHONE 17 PRO MAX NEGRO LY MAGSAFE SMOKY ALSO CAMERA SOFT,LY MAGSAFE SMOKY ALSO CAMERA SOFT,3
7002065410193,IPHONE 17 PRO MAX CAFE LY MAGSAFE SMOKY ERGONOMIC,LY MAGSAFE SMOKY ERGONOMIC,1
